int,binary,isPrime
0,00000000000000,0
1,00000000000001,0
2,00000000000010,1
3,00000000000011,1
4,00000000000100,0
5,00000000000101,1
6,00000000000110,0
7,00000000000111,1
8,00000000001000,0
9,00000000001001,0
10,00000000001010,0
11,00000000001011,1
12,00000000001100,0
13,00000000001101,1
14,00000000001110,0
15,00000000001111,0
16,00000000010000,0
17,00000000010001,1
18,00000000010010,0
19,00000000010011,1
20,00000000010100,0
21,00000000010101,0
22,00000000010110,0
23,00000000010111,1
24,00000000011000,0
25,00000000011001,0
26,00000000011010,0
27,00000000011011,0
28,00000000011100,0
29,00000000011101,1
30,00000000011110,0
31,00000000011111,1
32,00000000100000,0
33,00000000100001,0
34,00000000100010,0
35,00000000100011,0
36,00000000100100,0
37,00000000100101,1
38,00000000100110,0
39,00000000100111,0
40,00000000101000,0
41,00000000101001,1
42,00000000101010,0
43,00000000101011,1
44,00000000101100,0
45,00000000101101,0
46,00000000101110,0
47,00000000101111,1
48,00000000110000,0
49,00000000110001,0
50,00000000110010,0
51,00000000110011,0
52,00000000110100,0
53,00000000110101,1
54,00000000110110,0
55,00000000110111,0
56,00000000111000,0
57,00000000111001,0
58,00000000111010,0
59,00000000111011,1
60,00000000111100,0
61,00000000111101,1
62,00000000111110,0
63,00000000111111,0
64,00000001000000,0
65,00000001000001,0
66,00000001000010,0
67,00000001000011,1
68,00000001000100,0
69,00000001000101,0
70,00000001000110,0
71,00000001000111,1
72,00000001001000,0
73,00000001001001,1
74,00000001001010,0
75,00000001001011,0
76,00000001001100,0
77,00000001001101,0
78,00000001001110,0
79,00000001001111,1
80,00000001010000,0
81,00000001010001,0
82,00000001010010,0
83,00000001010011,1
84,00000001010100,0
85,00000001010101,0
86,00000001010110,0
87,00000001010111,0
88,00000001011000,0
89,00000001011001,1
90,00000001011010,0
91,00000001011011,0
92,00000001011100,0
93,00000001011101,0
94,00000001011110,0
95,00000001011111,0
96,00000001100000,0
97,00000001100001,1
98,00000001100010,0
99,00000001100011,0
100,00000001100100,0
101,00000001100101,1
102,00000001100110,0
103,00000001100111,1
104,00000001101000,0
105,00000001101001,0
106,00000001101010,0
107,00000001101011,1
