int,binary,isPrime
0,0000000000,0
1,0000000001,0
2,0000000010,1
3,0000000011,1
4,0000000100,0
5,0000000101,1
6,0000000110,0
7,0000000111,1
8,0000001000,0
9,0000001001,0
10,0000001010,0
11,0000001011,1
12,0000001100,0
13,0000001101,1
14,0000001110,0
15,0000001111,0
16,0000010000,0
17,0000010001,1
18,0000010010,0
19,0000010011,1
20,0000010100,0
21,0000010101,0
22,0000010110,0
23,0000010111,1
24,0000011000,0
25,0000011001,0
26,0000011010,0
27,0000011011,0
28,0000011100,0
29,0000011101,1
30,0000011110,0
31,0000011111,1
32,0000100000,0
33,0000100001,0
34,0000100010,0
35,0000100011,0
36,0000100100,0
37,0000100101,1
38,0000100110,0
39,0000100111,0
40,0000101000,0
41,0000101001,1
42,0000101010,0
43,0000101011,1
44,0000101100,0
45,0000101101,0
46,0000101110,0
47,0000101111,1
48,0000110000,0
49,0000110001,0
50,0000110010,0
51,0000110011,0
52,0000110100,0
53,0000110101,1
54,0000110110,0
55,0000110111,0
56,0000111000,0
57,0000111001,0
58,0000111010,0
59,0000111011,1
60,0000111100,0
61,0000111101,1
62,0000111110,0
63,0000111111,0
64,0001000000,0
65,0001000001,0
66,0001000010,0
67,0001000011,1
68,0001000100,0
69,0001000101,0
70,0001000110,0
71,0001000111,1
72,0001001000,0
73,0001001001,1
74,0001001010,0
75,0001001011,0
76,0001001100,0
77,0001001101,0
78,0001001110,0
79,0001001111,1
80,0001010000,0
81,0001010001,0
82,0001010010,0
83,0001010011,1
84,0001010100,0
85,0001010101,0
86,0001010110,0
87,0001010111,0
88,0001011000,0
89,0001011001,1
90,0001011010,0
91,0001011011,0
92,0001011100,0
93,0001011101,0
94,0001011110,0
95,0001011111,0
96,0001100000,0
97,0001100001,1
98,0001100010,0
99,0001100011,0
100,0001100100,0
101,0001100101,1
102,0001100110,0
103,0001100111,1
104,0001101000,0
105,0001101001,0
106,0001101010,0
107,0001101011,1
108,0001101100,0
109,0001101101,1
110,0001101110,0
111,0001101111,0
112,0001110000,0
113,0001110001,1
114,0001110010,0
115,0001110011,0
116,0001110100,0
117,0001110101,0
118,0001110110,0
119,0001110111,0
120,0001111000,0
121,0001111001,0
122,0001111010,0
123,0001111011,0
124,0001111100,0
125,0001111101,0
126,0001111110,0
127,0001111111,1
128,0010000000,0
129,0010000001,0
130,0010000010,0
131,0010000011,1
132,0010000100,0
133,0010000101,0
134,0010000110,0
135,0010000111,0
136,0010001000,0
137,0010001001,1
138,0010001010,0
139,0010001011,1
140,0010001100,0
141,0010001101,0
142,0010001110,0
143,0010001111,0
144,0010010000,0
145,0010010001,0
146,0010010010,0
147,0010010011,0
