int,binary,isPrime
0,000000000000000,0
1,000000000000001,0
2,000000000000010,1
3,000000000000011,1
4,000000000000100,0
5,000000000000101,1
6,000000000000110,0
7,000000000000111,1
8,000000000001000,0
9,000000000001001,0
10,000000000001010,0
11,000000000001011,1
12,000000000001100,0
13,000000000001101,1
14,000000000001110,0
15,000000000001111,0
16,000000000010000,0
17,000000000010001,1
18,000000000010010,0
19,000000000010011,1
20,000000000010100,0
21,000000000010101,0
22,000000000010110,0
23,000000000010111,1
24,000000000011000,0
25,000000000011001,0
26,000000000011010,0
27,000000000011011,0
28,000000000011100,0
29,000000000011101,1
30,000000000011110,0
31,000000000011111,1
32,000000000100000,0
33,000000000100001,0
34,000000000100010,0
35,000000000100011,0
36,000000000100100,0
37,000000000100101,1
38,000000000100110,0
39,000000000100111,0
40,000000000101000,0
41,000000000101001,1
42,000000000101010,0
43,000000000101011,1
44,000000000101100,0
45,000000000101101,0
46,000000000101110,0
47,000000000101111,1
48,000000000110000,0
49,000000000110001,0
50,000000000110010,0
51,000000000110011,0
52,000000000110100,0
53,000000000110101,1
54,000000000110110,0
55,000000000110111,0
56,000000000111000,0
57,000000000111001,0
58,000000000111010,0
59,000000000111011,1
60,000000000111100,0
61,000000000111101,1
62,000000000111110,0
63,000000000111111,0
64,000000001000000,0
65,000000001000001,0
66,000000001000010,0
67,000000001000011,1
68,000000001000100,0
69,000000001000101,0
70,000000001000110,0
71,000000001000111,1
72,000000001001000,0
73,000000001001001,1
74,000000001001010,0
75,000000001001011,0
76,000000001001100,0
77,000000001001101,0
78,000000001001110,0
79,000000001001111,1
80,000000001010000,0
81,000000001010001,0
82,000000001010010,0
83,000000001010011,1
84,000000001010100,0
85,000000001010101,0
86,000000001010110,0
87,000000001010111,0
88,000000001011000,0
89,000000001011001,1
90,000000001011010,0
91,000000001011011,0
92,000000001011100,0
93,000000001011101,0
94,000000001011110,0
95,000000001011111,0
96,000000001100000,0
97,000000001100001,1
98,000000001100010,0
99,000000001100011,0
100,000000001100100,0
101,000000001100101,1
102,000000001100110,0
103,000000001100111,1
104,000000001101000,0
105,000000001101001,0
106,000000001101010,0
107,000000001101011,1
108,000000001101100,0
109,000000001101101,1
110,000000001101110,0
111,000000001101111,0
112,000000001110000,0
113,000000001110001,1
114,000000001110010,0
115,000000001110011,0
116,000000001110100,0
117,000000001110101,0
118,000000001110110,0
119,000000001110111,0
120,000000001111000,0
121,000000001111001,0
122,000000001111010,0
123,000000001111011,0
124,000000001111100,0
125,000000001111101,0
126,000000001111110,0
127,000000001111111,1
128,000000010000000,0
129,000000010000001,0
130,000000010000010,0
131,000000010000011,1
132,000000010000100,0
133,000000010000101,0
134,000000010000110,0
135,000000010000111,0
136,000000010001000,0
137,000000010001001,1
138,000000010001010,0
139,000000010001011,1
140,000000010001100,0
141,000000010001101,0
142,000000010001110,0
143,000000010001111,0
144,000000010010000,0
145,000000010010001,0
146,000000010010010,0
147,000000010010011,0
148,000000010010100,0
149,000000010010101,1
150,000000010010110,0
151,000000010010111,1
152,000000010011000,0
153,000000010011001,0
154,000000010011010,0
155,000000010011011,0
156,000000010011100,0
157,000000010011101,1
158,000000010011110,0
159,000000010011111,0
160,000000010100000,0
161,000000010100001,0
162,000000010100010,0
163,000000010100011,1
164,000000010100100,0
165,000000010100101,0
166,000000010100110,0
167,000000010100111,1
168,000000010101000,0
169,000000010101001,0
170,000000010101010,0
171,000000010101011,0
172,000000010101100,0
173,000000010101101,1
174,000000010101110,0
175,000000010101111,0
176,000000010110000,0
177,000000010110001,0
178,000000010110010,0
179,000000010110011,1
180,000000010110100,0
181,000000010110101,1
182,000000010110110,0
183,000000010110111,0
184,000000010111000,0
185,000000010111001,0
186,000000010111010,0
187,000000010111011,0
188,000000010111100,0
189,000000010111101,0
190,000000010111110,0
191,000000010111111,1
192,000000011000000,0
193,000000011000001,1
194,000000011000010,0
195,000000011000011,0
196,000000011000100,0
197,000000011000101,1
198,000000011000110,0
199,000000011000111,1
200,000000011001000,0
201,000000011001001,0
202,000000011001010,0
203,000000011001011,0
204,000000011001100,0
205,000000011001101,0
206,000000011001110,0
207,000000011001111,0
208,000000011010000,0
209,000000011010001,0
210,000000011010010,0
211,000000011010011,1
212,000000011010100,0
213,000000011010101,0
214,000000011010110,0
215,000000011010111,0
216,000000011011000,0
217,000000011011001,0
218,000000011011010,0
219,000000011011011,0
220,000000011011100,0
221,000000011011101,0
222,000000011011110,0
223,000000011011111,1
224,000000011100000,0
225,000000011100001,0
226,000000011100010,0
227,000000011100011,1
228,000000011100100,0
229,000000011100101,1
230,000000011100110,0
231,000000011100111,0
232,000000011101000,0
233,000000011101001,1
234,000000011101010,0
235,000000011101011,0
236,000000011101100,0
237,000000011101101,0
238,000000011101110,0
239,000000011101111,1
240,000000011110000,0
241,000000011110001,1
242,000000011110010,0
243,000000011110011,0
244,000000011110100,0
245,000000011110101,0
246,000000011110110,0
247,000000011110111,0
248,000000011111000,0
249,000000011111001,0
250,000000011111010,0
251,000000011111011,1
252,000000011111100,0
253,000000011111101,0
254,000000011111110,0
255,000000011111111,0
256,000000100000000,0
257,000000100000001,1
258,000000100000010,0
259,000000100000011,0
260,000000100000100,0
261,000000100000101,0
262,000000100000110,0
263,000000100000111,1
264,000000100001000,0
265,000000100001001,0
266,000000100001010,0
267,000000100001011,0
268,000000100001100,0
269,000000100001101,1
270,000000100001110,0
271,000000100001111,1
272,000000100010000,0
273,000000100010001,0
274,000000100010010,0
275,000000100010011,0
276,000000100010100,0
277,000000100010101,1
278,000000100010110,0
279,000000100010111,0
280,000000100011000,0
281,000000100011001,1
282,000000100011010,0
283,000000100011011,1
284,000000100011100,0
285,000000100011101,0
286,000000100011110,0
287,000000100011111,0
288,000000100100000,0
289,000000100100001,0
290,000000100100010,0
291,000000100100011,0
292,000000100100100,0
293,000000100100101,1
294,000000100100110,0
295,000000100100111,0
296,000000100101000,0
297,000000100101001,0
298,000000100101010,0
299,000000100101011,0
300,000000100101100,0
301,000000100101101,0
302,000000100101110,0
303,000000100101111,0
304,000000100110000,0
305,000000100110001,0
306,000000100110010,0
307,000000100110011,1
308,000000100110100,0
309,000000100110101,0
310,000000100110110,0
311,000000100110111,1
312,000000100111000,0
313,000000100111001,1
314,000000100111010,0
315,000000100111011,0
316,000000100111100,0
317,000000100111101,1
318,000000100111110,0
319,000000100111111,0
320,000000101000000,0
321,000000101000001,0
322,000000101000010,0
323,000000101000011,0
324,000000101000100,0
325,000000101000101,0
326,000000101000110,0
327,000000101000111,0
328,000000101001000,0
329,000000101001001,0
330,000000101001010,0
331,000000101001011,1
332,000000101001100,0
333,000000101001101,0
334,000000101001110,0
335,000000101001111,0
336,000000101010000,0
337,000000101010001,1
338,000000101010010,0
339,000000101010011,0
340,000000101010100,0
341,000000101010101,0
342,000000101010110,0
343,000000101010111,0
344,000000101011000,0
345,000000101011001,0
346,000000101011010,0
347,000000101011011,1
348,000000101011100,0
349,000000101011101,1
350,000000101011110,0
351,000000101011111,0
352,000000101100000,0
353,000000101100001,1
354,000000101100010,0
355,000000101100011,0
356,000000101100100,0
357,000000101100101,0
