int,binary,isPrime
0,0000000,0
1,0000001,0
2,0000010,1
3,0000011,1
4,0000100,0
5,0000101,1
6,0000110,0
7,0000111,1
8,0001000,0
9,0001001,0
10,0001010,0
11,0001011,1
12,0001100,0
13,0001101,1
14,0001110,0
15,0001111,0
16,0010000,0
17,0010001,1
18,0010010,0
19,0010011,1
20,0010100,0
21,0010101,0
22,0010110,0
23,0010111,1
24,0011000,0
25,0011001,0
26,0011010,0
27,0011011,0
28,0011100,0
29,0011101,1
30,0011110,0
31,0011111,1
32,0100000,0
33,0100001,0
34,0100010,0
35,0100011,0
36,0100100,0
37,0100101,1
38,0100110,0
39,0100111,0
40,0101000,0
41,0101001,1
42,0101010,0
43,0101011,1
44,0101100,0
45,0101101,0
46,0101110,0
47,0101111,1
48,0110000,0
49,0110001,0
50,0110010,0
51,0110011,0
52,0110100,0
53,0110101,1
54,0110110,0
55,0110111,0
56,0111000,0
57,0111001,0
58,0111010,0
59,0111011,1
60,0111100,0
61,0111101,1
62,0111110,0
63,0111111,0
64,1000000,0
65,1000001,0
66,1000010,0
67,1000011,1
68,1000100,0
69,1000101,0
70,1000110,0
71,1000111,1
72,1001000,0
73,1001001,1
74,1001010,0
75,1001011,0
76,1001100,0
77,1001101,0
78,1001110,0
79,1001111,1
80,1010000,0
81,1010001,0
82,1010010,0
83,1010011,1
84,1010100,0
85,1010101,0
86,1010110,0
87,1010111,0
88,1011000,0
89,1011001,1
90,1011010,0
91,1011011,0
92,1011100,0
93,1011101,0
94,1011110,0
95,1011111,0
96,1100000,0
97,1100001,1
98,1100010,0
99,1100011,0
100,1100100,0
101,1100101,1
102,1100110,0
103,1100111,1
104,1101000,0
105,1101001,0
106,1101010,0
107,1101011,1
108,1101100,0
109,1101101,1
110,1101110,0
111,1101111,0
112,1110000,0
113,1110001,1
114,1110010,0
115,1110011,0
116,1110100,0
117,1110101,0
118,1110110,0
119,1110111,0
120,1111000,0
121,1111001,0
122,1111010,0
123,1111011,0
124,1111100,0
125,1111101,0
126,1111110,0
127,1111111,1
