int,binary,isPrime
0,000000,0
1,000001,0
2,000010,1
3,000011,1
4,000100,0
5,000101,1
6,000110,0
7,000111,1
8,001000,0
9,001001,0
10,001010,0
11,001011,1
12,001100,0
13,001101,1
14,001110,0
15,001111,0
16,010000,0
17,010001,1
18,010010,0
19,010011,1
20,010100,0
21,010101,0
22,010110,0
23,010111,1
24,011000,0
25,011001,0
26,011010,0
27,011011,0
28,011100,0
29,011101,1
30,011110,0
31,011111,1
32,100000,0
33,100001,0
34,100010,0
35,100011,0
36,100100,0
37,100101,1
38,100110,0
39,100111,0
40,101000,0
41,101001,1
42,101010,0
43,101011,1
44,101100,0
45,101101,0
46,101110,0
47,101111,1
48,110000,0
49,110001,0
50,110010,0
51,110011,0
52,110100,0
53,110101,1
54,110110,0
55,110111,0
56,111000,0
57,111001,0
58,111010,0
59,111011,1
60,111100,0
61,111101,1
62,111110,0
63,111111,0
