int,binary,isPrime
0,00000000000000000,0
1,00000000000000001,0
2,00000000000000010,1
3,00000000000000011,1
4,00000000000000100,0
5,00000000000000101,1
6,00000000000000110,0
7,00000000000000111,1
8,00000000000001000,0
9,00000000000001001,0
10,00000000000001010,0
11,00000000000001011,1
12,00000000000001100,0
13,00000000000001101,1
14,00000000000001110,0
15,00000000000001111,0
16,00000000000010000,0
17,00000000000010001,1
18,00000000000010010,0
19,00000000000010011,1
20,00000000000010100,0
21,00000000000010101,0
22,00000000000010110,0
23,00000000000010111,1
24,00000000000011000,0
25,00000000000011001,0
26,00000000000011010,0
27,00000000000011011,0
28,00000000000011100,0
29,00000000000011101,1
30,00000000000011110,0
31,00000000000011111,1
32,00000000000100000,0
33,00000000000100001,0
34,00000000000100010,0
35,00000000000100011,0
36,00000000000100100,0
37,00000000000100101,1
38,00000000000100110,0
39,00000000000100111,0
40,00000000000101000,0
41,00000000000101001,1
42,00000000000101010,0
43,00000000000101011,1
44,00000000000101100,0
45,00000000000101101,0
46,00000000000101110,0
47,00000000000101111,1
48,00000000000110000,0
49,00000000000110001,0
50,00000000000110010,0
51,00000000000110011,0
52,00000000000110100,0
53,00000000000110101,1
54,00000000000110110,0
55,00000000000110111,0
56,00000000000111000,0
57,00000000000111001,0
58,00000000000111010,0
59,00000000000111011,1
60,00000000000111100,0
61,00000000000111101,1
62,00000000000111110,0
63,00000000000111111,0
64,00000000001000000,0
65,00000000001000001,0
66,00000000001000010,0
67,00000000001000011,1
68,00000000001000100,0
69,00000000001000101,0
70,00000000001000110,0
71,00000000001000111,1
72,00000000001001000,0
73,00000000001001001,1
74,00000000001001010,0
75,00000000001001011,0
76,00000000001001100,0
77,00000000001001101,0
78,00000000001001110,0
79,00000000001001111,1
80,00000000001010000,0
81,00000000001010001,0
82,00000000001010010,0
83,00000000001010011,1
84,00000000001010100,0
85,00000000001010101,0
86,00000000001010110,0
87,00000000001010111,0
88,00000000001011000,0
89,00000000001011001,1
90,00000000001011010,0
91,00000000001011011,0
92,00000000001011100,0
93,00000000001011101,0
94,00000000001011110,0
95,00000000001011111,0
96,00000000001100000,0
97,00000000001100001,1
98,00000000001100010,0
99,00000000001100011,0
100,00000000001100100,0
101,00000000001100101,1
102,00000000001100110,0
103,00000000001100111,1
104,00000000001101000,0
105,00000000001101001,0
106,00000000001101010,0
107,00000000001101011,1
108,00000000001101100,0
109,00000000001101101,1
110,00000000001101110,0
111,00000000001101111,0
112,00000000001110000,0
113,00000000001110001,1
114,00000000001110010,0
115,00000000001110011,0
116,00000000001110100,0
117,00000000001110101,0
118,00000000001110110,0
119,00000000001110111,0
120,00000000001111000,0
121,00000000001111001,0
122,00000000001111010,0
123,00000000001111011,0
124,00000000001111100,0
125,00000000001111101,0
126,00000000001111110,0
127,00000000001111111,1
128,00000000010000000,0
129,00000000010000001,0
130,00000000010000010,0
131,00000000010000011,1
132,00000000010000100,0
133,00000000010000101,0
134,00000000010000110,0
135,00000000010000111,0
136,00000000010001000,0
137,00000000010001001,1
138,00000000010001010,0
139,00000000010001011,1
140,00000000010001100,0
141,00000000010001101,0
142,00000000010001110,0
143,00000000010001111,0
144,00000000010010000,0
145,00000000010010001,0
146,00000000010010010,0
147,00000000010010011,0
148,00000000010010100,0
149,00000000010010101,1
150,00000000010010110,0
151,00000000010010111,1
152,00000000010011000,0
153,00000000010011001,0
154,00000000010011010,0
155,00000000010011011,0
156,00000000010011100,0
157,00000000010011101,1
158,00000000010011110,0
159,00000000010011111,0
160,00000000010100000,0
161,00000000010100001,0
162,00000000010100010,0
163,00000000010100011,1
164,00000000010100100,0
165,00000000010100101,0
166,00000000010100110,0
167,00000000010100111,1
168,00000000010101000,0
169,00000000010101001,0
170,00000000010101010,0
171,00000000010101011,0
172,00000000010101100,0
173,00000000010101101,1
174,00000000010101110,0
175,00000000010101111,0
176,00000000010110000,0
177,00000000010110001,0
178,00000000010110010,0
179,00000000010110011,1
180,00000000010110100,0
181,00000000010110101,1
182,00000000010110110,0
183,00000000010110111,0
184,00000000010111000,0
185,00000000010111001,0
186,00000000010111010,0
187,00000000010111011,0
188,00000000010111100,0
189,00000000010111101,0
190,00000000010111110,0
191,00000000010111111,1
192,00000000011000000,0
193,00000000011000001,1
194,00000000011000010,0
195,00000000011000011,0
196,00000000011000100,0
197,00000000011000101,1
198,00000000011000110,0
199,00000000011000111,1
200,00000000011001000,0
201,00000000011001001,0
202,00000000011001010,0
203,00000000011001011,0
204,00000000011001100,0
205,00000000011001101,0
206,00000000011001110,0
207,00000000011001111,0
208,00000000011010000,0
209,00000000011010001,0
210,00000000011010010,0
211,00000000011010011,1
212,00000000011010100,0
213,00000000011010101,0
214,00000000011010110,0
215,00000000011010111,0
216,00000000011011000,0
217,00000000011011001,0
218,00000000011011010,0
219,00000000011011011,0
220,00000000011011100,0
221,00000000011011101,0
222,00000000011011110,0
223,00000000011011111,1
224,00000000011100000,0
225,00000000011100001,0
226,00000000011100010,0
227,00000000011100011,1
228,00000000011100100,0
229,00000000011100101,1
230,00000000011100110,0
231,00000000011100111,0
232,00000000011101000,0
233,00000000011101001,1
234,00000000011101010,0
235,00000000011101011,0
236,00000000011101100,0
237,00000000011101101,0
238,00000000011101110,0
239,00000000011101111,1
240,00000000011110000,0
241,00000000011110001,1
242,00000000011110010,0
243,00000000011110011,0
244,00000000011110100,0
245,00000000011110101,0
246,00000000011110110,0
247,00000000011110111,0
248,00000000011111000,0
249,00000000011111001,0
250,00000000011111010,0
251,00000000011111011,1
252,00000000011111100,0
253,00000000011111101,0
254,00000000011111110,0
255,00000000011111111,0
256,00000000100000000,0
257,00000000100000001,1
258,00000000100000010,0
259,00000000100000011,0
260,00000000100000100,0
261,00000000100000101,0
262,00000000100000110,0
263,00000000100000111,1
264,00000000100001000,0
265,00000000100001001,0
266,00000000100001010,0
267,00000000100001011,0
268,00000000100001100,0
269,00000000100001101,1
270,00000000100001110,0
271,00000000100001111,1
272,00000000100010000,0
273,00000000100010001,0
274,00000000100010010,0
275,00000000100010011,0
276,00000000100010100,0
277,00000000100010101,1
278,00000000100010110,0
279,00000000100010111,0
280,00000000100011000,0
281,00000000100011001,1
282,00000000100011010,0
283,00000000100011011,1
284,00000000100011100,0
285,00000000100011101,0
286,00000000100011110,0
287,00000000100011111,0
288,00000000100100000,0
289,00000000100100001,0
290,00000000100100010,0
291,00000000100100011,0
292,00000000100100100,0
293,00000000100100101,1
294,00000000100100110,0
295,00000000100100111,0
296,00000000100101000,0
297,00000000100101001,0
298,00000000100101010,0
299,00000000100101011,0
300,00000000100101100,0
301,00000000100101101,0
302,00000000100101110,0
303,00000000100101111,0
304,00000000100110000,0
305,00000000100110001,0
306,00000000100110010,0
307,00000000100110011,1
308,00000000100110100,0
309,00000000100110101,0
310,00000000100110110,0
311,00000000100110111,1
312,00000000100111000,0
313,00000000100111001,1
314,00000000100111010,0
315,00000000100111011,0
316,00000000100111100,0
317,00000000100111101,1
318,00000000100111110,0
319,00000000100111111,0
320,00000000101000000,0
321,00000000101000001,0
322,00000000101000010,0
323,00000000101000011,0
